     6.00000000000E+0     1.07643144531E+1     6.00000000000E+0
     7.00000000000E+0     1.07709057617E+1     7.00000000000E+0
     8.00000000000E+0     1.07874194336E+1     8.00000000000E+0
     9.00000000000E+0     1.07678686523E+1     9.00000000000E+0
     1.00000000000E+1     1.05972021485E+1     1.00000000000E+1
     1.10000000000E+1     1.05486425781E+1     1.10000000000E+1
     1.20000000000E+1     1.06032275390E+1     1.20000000000E+1
     1.30000000000E+1     1.06480305989E+1     1.30000000000E+1
     1.40000000000E+1     1.06515820313E+1     1.40000000000E+1
     1.50000000000E+1     1.07274951172E+1     1.50000000000E+1
     1.60000000000E+1     1.07703938802E+1     1.60000000000E+1
     1.70000000000E+1     1.09276269531E+1     1.70000000000E+1
     1.80000000000E+1     1.10812955729E+1     1.80000000000E+1
     1.90000000000E+1     1.12653002930E+1     1.90000000000E+1
     2.00000000000E+1     1.12730598958E+1     2.00000000000E+1
     2.10000000000E+1     1.11658471680E+1     2.10000000000E+1
     2.20000000000E+1     1.10854654948E+1     2.20000000000E+1
     2.30000000000E+1     1.10664501953E+1     2.30000000000E+1
     2.40000000000E+1     1.09990559896E+1     2.40000000000E+1
     2.50000000000E+1     1.09441430664E+1     2.50000000000E+1
     2.60000000000E+1     1.09104345703E+1     2.60000000000E+1
     2.70000000000E+1     1.08461490885E+1     2.70000000000E+1
     2.80000000000E+1     1.07525756836E+1     2.80000000000E+1
     2.90000000000E+1     1.07222949219E+1     2.90000000000E+1
     3.00000000000E+1     1.07309033203E+1     3.00000000000E+1
     3.10000000000E+1     1.07052018229E+1     3.10000000000E+1
     3.20000000000E+1     1.07613134766E+1     3.20000000000E+1
     3.30000000000E+1     1.07249772135E+1     3.30000000000E+1
     3.40000000000E+1     1.08340356445E+1     3.40000000000E+1
     3.50000000000E+1     1.08990885416E+1     3.50000000000E+1
     3.60000000000E+1     1.07174438476E+1     3.60000000000E+1
     3.70000000000E+1     1.07210091146E+1     3.70000000000E+1
     3.80000000000E+1     1.07749365234E+1     3.80000000000E+1
     3.90000000000E+1     1.07916243490E+1     3.90000000000E+1
     4.00000000000E+1     1.08476985677E+1     4.00000000000E+1
     4.10000000000E+1     1.09072485351E+1     4.10000000000E+1
     4.20000000000E+1     1.09392578125E+1     4.20000000000E+1
     4.30000000000E+1     1.09684033203E+1     4.30000000000E+1
     4.40000000000E+1     1.09910807292E+1     4.40000000000E+1
     4.50000000000E+1     1.09732373047E+1     4.50000000000E+1
     4.60000000000E+1     1.09953125000E+1     4.60000000000E+1
     4.70000000000E+1     1.09926245117E+1     4.70000000000E+1
     4.80000000000E+1     1.09901790365E+1     4.80000000000E+1
     4.90000000000E+1     1.10189257812E+1     4.90000000000E+1
     5.00000000000E+1     1.10553735352E+1     5.00000000000E+1
     5.10000000000E+1     1.10155240886E+1     5.10000000000E+1
     5.20000000000E+1     1.10905566406E+1     5.20000000000E+1
     5.30000000000E+1     1.10647021484E+1     5.30000000000E+1
     6.00000000000E+0     1.10632187500E+1     6.00000000000E+0
